,Building,Day,In,Out,Reason,Time_In,Time_Out,Time_Diff
0,Founders Memorial Library,2/3/2019,2:30 PM,6:30 PM ,Applied to jobs and Explored Front End Technologies,2019-02-03 14:30:00,2019-02-03 18:30:00,240.0
1,Student Recreation Center,2/3/2019,7:30 PM ,9:30 PM ,Table Tennis and Lawn Tennis,2019-02-03 19:30:00,2019-02-03 21:30:00,120.0
2,Founders Memorial Library,2/4/2019,1:00 PM,4:50 PM,"Data visualization Assignment, Readings",2019-02-04 13:00:00,2019-02-04 16:50:00,230.0
3,Psychology-Computer Science Building,2/4/2019,5:00 PM ,6:15 PM,Data visualization Lecture,2019-02-04 17:00:00,2019-02-04 18:15:00,75.0
4,Student Recreation Center,2/4/2019,8:16 PM,10:00 PM,Badminton,2019-02-04 20:16:00,2019-02-04 22:00:00,104.0
5,Founders Memorial Library,2/5/2019,11:30 AM,4:30 PM ,"Applied to jobs, studied ASP.Net and borrowed a book",2019-02-05 11:30:00,2019-02-05 16:30:00,300.0
6,Student Recreation Center,2/5/2019,7:10 PM ,9:30 PM ,Badminton,2019-02-05 19:10:00,2019-02-05 21:30:00,140.0
7,Williston Hall,2/6/2019,11:25 AM,11:40 AM,Picked up the Underload Form at ISFO,2019-02-06 11:25:00,2019-02-06 11:40:00,15.0
8,Psychology-Computer Science Building,2/6/2019,11:48 AM ,12:03 PM,Filled and submitted the underload form in the CS dept,2019-02-06 11:48:00,2019-02-06 12:03:00,15.0
9,Psychology-Computer Science Building,2/6/2019,5:00 PM ,6:15 PM,Data Visualization Lecture,2019-02-06 17:00:00,2019-02-06 18:15:00,75.0
10,Founders Memorial Library,2/6/2019,1:36 PM ,4:50 PM ,"Applied to jobs, studied  HTML5 and explored some of the best web applications built. ",2019-02-06 13:36:00,2019-02-06 16:50:00,194.0
11,Student Recreation Center,2/6/2019,7:05 PM,9:40 PM,Lawn Tennis and Badminton,2019-02-06 19:05:00,2019-02-06 21:40:00,155.0
12,Student Recreation Center,2/7/2019,8:06 PM ,10:05 PM ,Badminton and Table Tennis,2019-02-07 20:06:00,2019-02-07 22:05:00,119.0
13,Psychology-Computer Science Building,2/8/2019,11:36 AM ,11:42 AM,Picked up the Underload Form from the CS dept,2019-02-08 11:36:00,2019-02-08 11:42:00,6.0
14,Williston Hall,2/8/2019,11:51 AM,12:02 PM,Submitted the underload Form at ISFO,2019-02-08 11:51:00,2019-02-08 12:02:00,11.0
15,Student Recreation Center,2/8/2019,6:45 PM,8:02 PM ,Badminton,2019-02-08 18:45:00,2019-02-08 20:02:00,77.0
16,Student Recreation Center,2/9/2019,5:07 PM ,7:05 PM,Badminton,2019-02-09 17:07:00,2019-02-09 19:05:00,118.0
