,Building,Day,In,Out,Reason,Time_In,Time_Out,Time_Diff
1,Psych\CS Building,Feb/4/2019,15:36,18:26,CSCI 627,2019-02-04 15:36:00,2019-02-04 18:26:00,170.0
2,Psych\CS Building,Feb/5/2019,10:36,12:20,CSCI 503,2019-02-05 10:36:00,2019-02-05 12:20:00,104.0
3,Psych\CS Building,Feb/5/2019,14:51,16:26,Meet with CSCI 503 TA,2019-02-05 14:51:00,2019-02-05 16:26:00,95.0
4,Reavis Hall,Feb/5/2019,16:33,16:43,Meet with a friend,2019-02-05 16:33:00,2019-02-05 16:43:00,10.0
5,Adams Hall,Feb/6/2019,15:28,15:53,Consultation,2019-02-06 15:28:00,2019-02-06 15:53:00,25.0
6,Psych\CS Building,Feb/6/2019,16:00,18:22,CSCI 627,2019-02-06 16:00:00,2019-02-06 18:22:00,142.0
7,Psych\CS Building,Feb/7/2020,10:37,12:09,CSCI 503,2020-02-07 10:37:00,2020-02-07 12:09:00,92.0
8,Founders Memorial Library,Feb/8/2021,15:19,17:02,Self study,2021-02-08 15:19:00,2021-02-08 17:02:00,103.0
9,Founders Memorial Library,Feb/9/2022,14:09,16:23,Self study,2022-02-09 14:09:00,2022-02-09 16:23:00,134.0
10,Student Recreation Center,Feb/9/2023,16:52,18:28,Playing Basketball,2023-02-09 16:52:00,2023-02-09 18:28:00,96.0
